Date,Close/Last,Volume,Open,High,Low
8/23/2021,$411.89 ,15796510,$390.34 ,$411.97 ,$385.77 
8/20/2021,$382.98 ,13216680,$374.55 ,$387.49 ,$369.26 
8/19/2021,$375.53 ,14254720,$385 ,$394.92 ,$375 
8/18/2021,$398.80 ,19121810,$406.50 ,$413.30 ,$386.21 
8/17/2021,$401.86 ,25982140,$361 ,$402.49 ,$358.55 
8/16/2021,$373.86 ,23602810,$379.27 ,$379.57 ,$349 
8/13/2021,$389.78 ,16533670,$405.24 ,$406.32 ,$387.10 
8/12/2021,$391.42 ,34345050,$400 ,$406.35 ,$377.09 
8/11/2021,$385.33 ,53882160,$443.57 ,$453.73 ,$372 
8/10/2021,$456.76 ,36503720,$485.50 ,$497.49 ,$454 
8/9/2021,$484.47 ,42269880,$411.30 ,$493.76 ,$409.66 
8/6/2021,$413.72 ,18924650,$410.30 ,$419.26 ,$393.61 
8/5/2021,$416.26 ,25571510,$409.72 ,$443.99 ,$403 
8/4/2021,$419.05 ,32251620,$385 ,$433 ,$377.11 
8/3/2021,$386.51 ,20424080,$348.50 ,$386.98 ,$344.50 
8/2/2021,$346.61 ,13685920,$360 ,$365.60 ,$343.20 
7/30/2021,$353.60 ,11345690,$346.90 ,$359.90 ,$342.28 
7/29/2021,$345.64 ,10100730,$350.64 ,$351.22 ,$336 
7/28/2021,$349.32 ,13091570,$333.01 ,$350.99 ,$327.50 
7/27/2021,$328.50 ,17196690,$335.31 ,$344.89 ,$318.29 
7/26/2021,$335.87 ,23387800,$352 ,$362 ,$329.15 
7/23/2021,$348.83 ,23431400,$330.90 ,$349.45 ,$325.17 
7/22/2021,$323.48 ,16491280,$319 ,$329.60 ,$316.29 
7/21/2021,$321.11 ,30859290,$298.51 ,$325.88 ,$293.62 
7/20/2021,$307.33 ,123115500,$318.22 ,$342.51 ,$292 
7/19/2021,$313.59 ,35526770,$284.54 ,$317.88 ,$283.14 
7/16/2021,$286.43 ,41397250,$276.92 ,$288.88 ,$271.50 
7/15/2021,$259.68 ,15130780,$246.66 ,$261.22 ,$245.51 
7/14/2021,$246.66 ,9420397,$237.25 ,$249.92 ,$237.22 
7/13/2021,$235.15 ,4186383,$239.14 ,$239.82 ,$233.80 
7/12/2021,$239.34 ,6938180,$230.98 ,$242.39 ,$229.20 
7/9/2021,$232.81 ,5305101,$231.97 ,$233.80 ,$224.28 
7/8/2021,$232.79 ,8719363,$215.66 ,$233.41 ,$214.07 
7/7/2021,$221.90 ,4889299,$231.76 ,$231.86 ,$220.82 
7/6/2021,$233.34 ,4956460,$229.62 ,$234.60 ,$225.43 
7/2/2021,$234.30 ,4200450,$235.10 ,$238.90 ,$230.14 
7/1/2021,$235.11 ,5933146,$236.30 ,$236.71 ,$227.67 
6/30/2021,$234.98 ,9319109,$237.98 ,$245.70 ,$232.41 
6/29/2021,$234.46 ,11417040,$221.19 ,$238.40 ,$219.33 
6/28/2021,$222.94 ,6190647,$223 ,$225.09 ,$215.60 
6/25/2021,$219.94 ,13315620,$221.26 ,$226.51 ,$216.33 
6/24/2021,$220.14 ,8171884,$214.38 ,$221.49 ,$213.46 
6/23/2021,$212.04 ,14558440,$219.98 ,$224.57 ,$205.55 
6/22/2021,$221.36 ,10066340,$210.76 ,$222.40 ,$210.25 
6/21/2021,$208.24 ,7423063,$200.86 ,$211.04 ,$200 
6/18/2021,$199.19 ,6663813,$201.39 ,$204.84 ,$194.51 
6/17/2021,$202.47 ,4955160,$200 ,$203.92 ,$197.72 
6/16/2021,$197.84 ,7264747,$200 ,$203.98 ,$193.20 
6/15/2021,$201.59 ,6786260,$203.49 ,$207.85 ,$199.20 
6/14/2021,$207.41 ,11743700,$213.27 ,$213.49 ,$198 
6/11/2021,$218.85 ,5576026,$211.90 ,$218.90 ,$211.80 
6/10/2021,$217 ,11763150,$216.62 ,$221.88 ,$207.70 
6/9/2021,$217.44 ,8016465,$212.30 ,$221.50 ,$212.01 
6/8/2021,$213 ,11857630,$220.10 ,$222.34 ,$202.50 
6/7/2021,$219.57 ,19034360,$207.10 ,$227.71 ,$206.42 
6/4/2021,$206.07 ,11103270,$197.90 ,$207.38 ,$197.33 
6/3/2021,$195.22 ,9270151,$188.89 ,$200 ,$188.63 
6/2/2021,$191.60 ,10142520,$183.90 ,$194.50 ,$183.28 
