Date,Low,Open,Volume,High,Close,Adjusted Close
29-06-2010,3.507999897,3.799999952,93831500,5,4.777999878,4.777999878
30-06-2010,4.659999847,5.157999992,85935500,6.084000111,4.765999794,4.765999794
1/7/2010,4.053999901,5,41094000,5.184000015,4.392000198,4.392000198
2/7/2010,3.742000103,4.599999905,25699000,4.619999886,3.839999914,3.839999914
6/7/2010,3.165999889,4,34334500,4,3.221999884,3.221999884
7/7/2010,2.996000051,3.279999971,34608500,3.325999975,3.160000086,3.160000086
8/7/2010,3.114000082,3.227999926,38557000,3.503999949,3.492000103,3.492000103
9/7/2010,3.309999943,3.516000032,20253000,3.579999924,3.480000019,3.480000019
12/7/2010,3.400000095,3.589999914,11012500,3.614000082,3.410000086,3.410000086
13-07-2010,3.380000114,3.477999926,13400500,3.727999926,3.628000021,3.628000021
14-07-2010,3.552000046,3.588000059,20976000,4.03000021,3.967999935,3.967999935
15-07-2010,3.799999952,3.987999916,18699000,4.300000191,3.977999926,3.977999926
16-07-2010,4.010000229,4.139999866,13106500,4.260000229,4.127999783,4.127999783
19-07-2010,4.184000015,4.274000168,12432500,4.449999809,4.381999969,4.381999969
20-07-2010,4.010000229,4.369999886,9126500,4.369999886,4.059999943,4.059999943
21-07-2010,3.900000095,4.131999969,6262500,4.179999828,4.044000149,4.044000149
22-07-2010,4.073999882,4.099999905,4789000,4.25,4.199999809,4.199999809
23-07-2010,4.211999893,4.237999916,3268000,4.311999798,4.257999897,4.257999897
26-07-2010,4.059999943,4.300000191,4611000,4.300000191,4.190000057,4.190000057
27-07-2010,4.052000046,4.18200016,3098500,4.236000061,4.110000134,4.110000134
28-07-2010,4.102000237,4.110000134,2336000,4.179999828,4.144000053,4.144000053
29-07-2010,4,4.153999805,3080000,4.176000118,4.070000172,4.070000172
30-07-2010,3.910000086,4.039999962,2134500,4.087999821,3.987999916,3.987999916
2/8/2010,4.065999985,4.099999905,3590500,4.193999767,4.184000015,4.184000015
3/8/2010,4.164000034,4.199999809,6152500,4.389999866,4.389999866,4.389999866
4/8/2010,4.170000076,4.389999866,4565000,4.43599987,4.251999855,4.251999855
5/8/2010,4.010000229,4.308000088,3981000,4.309999943,4.090000153,4.090000153
6/8/2010,3.904000044,4.019999981,3709500,4.032000065,3.917999983,3.917999983
9/8/2010,3.890000105,3.980000019,4063500,3.996000051,3.920000076,3.920000076
10/8/2010,3.763999939,3.930000067,6406500,3.930000067,3.805999994,3.805999994
11/8/2010,3.569999933,3.737999916,3988000,3.776000023,3.579999924,3.579999924
12/8/2010,3.477999926,3.559999943,3455000,3.579999924,3.519999981,3.519999981
13-08-2010,3.532000065,3.635999918,3170000,3.690000057,3.664000034,3.664000034
16-08-2010,3.65199995,3.690000057,2429000,3.75999999,3.756000042,3.756000042
17-08-2010,3.756000042,3.792000055,2239500,3.880000114,3.829999924,3.829999924
18-08-2010,3.720000029,3.917999983,3006500,3.917999983,3.753999949,3.753999949
19-08-2010,3.665999889,3.707999945,2895500,3.849999905,3.757999897,3.757999897
20-08-2010,3.701999903,3.730000019,1480000,3.822000027,3.819999933,3.819999933
23-08-2010,3.799999952,3.818000078,5440500,4.078000069,4.026000023,4.026000023
24-08-2010,3.789999962,3.849999905,3365500,3.941999912,3.839999914,3.839999914
25-08-2010,3.711999893,3.832000017,2516500,3.996000051,3.980000019,3.980000019
26-08-2010,3.920000076,3.977999926,2169000,4.053999901,3.950000048,3.950000048
27-08-2010,3.900000095,3.950000048,1898000,3.973999977,3.940000057,3.940000057
30-08-2010,3.921999931,3.940000057,3664000,4.038000107,3.973999977,3.973999977
31-08-2010,3.865999937,3.931999922,1005500,3.957999945,3.895999908,3.895999908
1/9/2010,3.920000076,3.924000025,2474500,4.138000011,4.090000153,4.090000153
2/9/2010,4.061999798,4.073999882,2435500,4.248000145,4.211999893,4.211999893
3/9/2010,4.131999969,4.173999786,2173000,4.260000229,4.210000038,4.210000038
7/9/2010,4.099999905,4.122000217,1217000,4.199999809,4.107999802,4.107999802
8/9/2010,4.119999886,4.131999969,1442000,4.190000057,4.179999828,4.179999828
9/9/2010,4.138000011,4.199999809,1881000,4.210000038,4.142000198,4.142000198
10/9/2010,3.951999903,4.150000095,1933000,4.18599987,4.03399992,4.03399992
13-09-2010,4.099999905,4.177999973,1804000,4.179999828,4.144000053,4.144000053
14-09-2010,4.105999947,4.107999802,3273500,4.320000172,4.223999977,4.223999977
15-09-2010,4.157999992,4.196000099,3423000,4.400000095,4.395999908,4.395999908
16-09-2010,4.168000221,4.429999828,13422500,4.631999969,4.188000202,4.188000202
17-09-2010,3.960000038,4.203999996,5992500,4.263999939,4.046000004,4.046000004
20-09-2010,4.032000065,4.133999825,4737500,4.269999981,4.211999893,4.211999893
21-09-2010,4.133999825,4.177999973,3980000,4.309999943,4.153999805,4.153999805
22-09-2010,3.960000038,4.173999786,4814500,4.190000057,3.973999977,3.973999977
23-09-2010,3.900000095,3.977999926,3340500,4.027999878,3.911999941,3.911999941
24-09-2010,3.930000067,3.99000001,2894500,4.038000107,4.019999981,4.019999981
27-09-2010,4.010000229,4.079999924,2093000,4.162000179,4.105999947,4.105999947
28-09-2010,4.15199995,4.208000183,6072500,4.297999859,4.28000021,4.28000021
29-09-2010,4.225999832,4.237999916,9846500,4.406000137,4.395999908,4.395999908
30-09-2010,4.038000107,4.400000095,10979000,4.429999828,4.081999779,4.081999779
1/10/2010,4.061999798,4.138000011,2988500,4.150000095,4.119999886,4.119999886
4/10/2010,4.059999943,4.085999966,3218000,4.234000206,4.197999954,4.197999954
5/10/2010,4.202000141,4.230000019,1660000,4.256000042,4.223999977,4.223999977
6/10/2010,4.06400013,4.211999893,1567000,4.251999855,4.092000008,4.092000008
7/10/2010,4.06799984,4.113999844,705000,4.127999783,4.085999966,4.085999966
8/10/2010,4.078000069,4.085999966,1339000,4.157999992,4.085999966,4.085999966
11/10/2010,4.013999939,4.087999821,856000,4.139999866,4.047999859,4.047999859
12/10/2010,4.006000042,4.039999962,1220000,4.056000233,4.047999859,4.047999859
13-10-2010,4.072000027,4.127999783,1591000,4.170000076,4.107999802,4.107999802
14-10-2010,4.079999924,4.199999809,1474000,4.205999851,4.150000095,4.150000095
15-10-2010,4.050000191,4.177999973,1423500,4.179999828,4.107999802,4.107999802
18-10-2010,4.044000149,4.104000092,814000,4.127999783,4.046000004,4.046000004
19-10-2010,4,4.039999962,1226000,4.081999779,4.010000229,4.010000229
20-10-2010,4.007999897,4.032000065,1562500,4.138000011,4.130000114,4.130000114
21-10-2010,4.090000153,4.122000217,2085500,4.190000057,4.150000095,4.150000095
22-10-2010,4.110000134,4.136000156,805500,4.18599987,4.144000053,4.144000053
25-10-2010,4.145999908,4.188000202,592500,4.196000099,4.170000076,4.170000076
26-10-2010,4.102000237,4.159999847,3304500,4.374000072,4.271999836,4.271999836
27-10-2010,4.130000114,4.25,1782500,4.276000023,4.199999809,4.199999809
28-10-2010,4.191999912,4.277999878,1121000,4.300000191,4.237999916,4.237999916
29-10-2010,4.210000038,4.228000164,1403000,4.369999886,4.368000031,4.368000031
1/11/2010,4.262000084,4.388000011,2279000,4.550000191,4.282000065,4.282000065
2/11/2010,4.210000038,4.335999966,1612500,4.375999928,4.25,4.25
3/11/2010,4.231999874,4.256000042,1863000,4.5,4.354000092,4.354000092
4/11/2010,4.429999828,4.519999981,9370000,5.065999985,4.980000019,4.980000019
5/11/2010,4.743999958,4.973999977,5055000,4.993999958,4.888000011,4.888000011
8/11/2010,4.806000233,4.900000095,2547500,5,4.995999813,4.995999813
