,Titles,Links
0,Stolen Delivery Van Driver Who Led Police In Chase Worked For Amazon - CBS Boston,https://boston.cbslocal.com/2021/08/26/amazon-stolen-delivery-van-cameron-mignon/
1,Amazon's department-store plans are less surprising than they appear - The Economist,https://www.economist.com/business/2021/08/28/amazons-department-store-plans-are-less-surprising-than-they-appear
2,Former Amazon executive who was once Jeff Bezos' 'shadow' joins online events start-up Hopin - CNBC,https://www.cnbc.com/2021/08/26/hopin-hires-former-amazon-exec-who-was-once-jeff-bezos-shadow-advisor.html
3,The 5 best Amazon deals you can get this Thursday - USA TODAY,https://www.usatoday.com/story/money/reviewed/2021/08/26/amazon-deals-save-ring-alarm-disney-plus-bark-box-and-more/5601670001/
4,The women on the front lines of safeguarding the Amazon - Mongabay.com,https://news.mongabay.com/2021/08/the-women-on-the-front-lines-of-safeguarding-the-amazon/
5,Kohl's CEO says rumored Amazon department stores won't ruin its relationship with the e-commerce giant - CNBC,https://www.cnbc.com/2021/08/24/kohls-ceo-rumored-amazon-department-stores-wont-ruin-relationship.html
6,Amazon Prime Gaming's free titles for September include 'Knockout City' - Engadget,https://www.engadget.com/amazon-prime-gamings-free-titles-for-september-include-knockout-city-140025611.html
7,The NLRB's Amazon Antics - uschamber.com,https://www.uschamber.com/article/the-nlrb-s-amazon-antics
8,Microsoft recruits longtime Amazon cloud exec Charlie Bell - The Seattle Times,https://www.seattletimes.com/business/microsoft-recruits-longtime-amazon-cloud-exec-charlie-bell/
9,"New On Amazon Prime Video In September: Daily Listings For Streaming Movies, TV & More - Deadline",https://deadline.com/feature/new-on-amazon-prime-streaming-1234822617/
10,"10 Black-Owned Businesses to Shop on Amazon: Fashion, Beauty, & Home - PEOPLE",https://people.com/lifestyle/black-owned-businesses-amazon/
11,Jennifer Lopez Keeps Wearing the Stylish Reusable Face Mask That Amazon Shoppers Call 'Comfortable and Breathable' - PEOPLE.com,https://people.com/lifestyle/jennifer-lopez-henry-face-mask-amazon/
12,Amazon.com Inc. stock underperforms Thursday when compared to competitors despite daily gains - MarketWatch,https://www.marketwatch.com/story/amazon-com-inc-stock-underperforms-thursday-when-compared-to-competitors-despite-daily-gains-01630009838-7b02768df328
13,12 Best T-Shirts on Amazon for Men - Esquire.com,https://www.esquire.com/style/mens-fashion/g37404694/best-amazon-t-shirts-men/
14,Behind the scenes on Amazon's New World - Creative Bloq,https://www.creativebloq.com/features/amazon-new-world-art
15,"The Best Face Masks for Kids, According to Amazon Reviewers - PEOPLE.com",https://people.com/lifestyle/abg-face-masks-for-kids-amazon/
16,"Jobs for Jacksonians Partners With Amazon for Series of Information Sessions - Jackson, MS - jacksonms.gov",https://www.jacksonms.gov/jobs-for-jacksonians-partners-with-amazon-for-series-of-information-sessions/
17,18 Must-Have Leggings From Amazon | The Best Leggings for Women - ELLE.com,https://www.elle.com/fashion/shopping/g37318203/best-amazon-leggings/
18,Amazon Fresh Opens First Maryland Store to Great Fanfare - Winsight Grocery Business,https://www.winsightgrocerybusiness.com/retailers/amazon-fresh-opens-first-maryland-store-great-fanfare
19,"Don't Panic, But Amazon's Taking Over 50% Off Lodge's Dutch Oven - Delish.com",https://www.delish.com/kitchen-tools/cookware-reviews/a37407467/amazon-lodge-dutch-oven-sale/
20,"Amazon Launches Free Prime Membership for Students, Plus Music Streaming from 99 Cents - Billboard",https://www.billboard.com/articles/news/9612348/amazon-prime-student-discount-pricing-offers/
21,Here’s what makes a new Amazon carbon study so unnerving - Yale Climate Connections,https://yaleclimateconnections.org/2021/08/heres-what-makes-a-new-amazon-carbon-study-so-unnerving/
22,Amazon calls on FCC to reject SpaceX's revised second-gen Starlink plan - SpaceNews,https://spacenews.com/amazon-calls-on-fcc-to-reject-spacexs-revised-second-gen-starlink-plan/
23,"Amazon is reportedly planning to open department stores, its latest experiment in physical retail - CNBC",https://www.cnbc.com/2021/08/19/amazon-is-reportedly-planning-to-open-department-stores-.html
24,Former Amazon grocery leader Wei Gao lands at event management company Hopin - GeekWire,https://www.geekwire.com/2021/former-amazon-grocery-leader-wei-gao-lands-event-management-company-hopin/
25,"The 10 Best Student Discounts You'll Find on Amazon, Apple, Nike, and More - Mental Floss",https://www.mentalfloss.com/article/649706/best-student-discounts-amazon-apple-nike
26,"Over 235k defective hoverboards sold at Walmart, Amazon.com recalled for battery issues - WKRN News 2",https://www.wkrn.com/news/over-235k-defective-hoverboards-sold-at-walmart-amazon-com-recalled-for-battery-issues/
