,Titles,Links
0,"Google confirms it’s pulling the plug on Streams, its UK clinician support app - TechCrunch",https://techcrunch.com/2021/08/26/google-confirms-its-pulling-the-plug-on-streams-its-uk-clinician-support-app/
1,Microsoft ending Chromebook support for Office Android apps in September (Update: Google statement added) - About Chromebooks,https://www.aboutchromebooks.com/news/microsoft-ending-chromebook-support-for-office-android-apps-in-september/
2,Google Sheets’ formula suggestions are like autofill for math - The Verge,https://www.theverge.com/2021/8/26/22642192/google-sheets-intelligent-formula-functions-spreadsheet-context-aware-math
3,Google Will Continue to Pay Apple Billions to Keep You From Using... Bing? - Gizmodo,https://gizmodo.com/google-will-continue-to-pay-apple-billions-to-keep-you-1847564608
4,Frontier Development Lab Transforms Space and Earth Science for NASA with Google Cloud Artificial Intelligence and Machine Learning Technology - SETI Institute,https://www.seti.org/press-release/frontier-development-lab-transforms-space-and-earth-science-nasa-google-cloud-artificial
5,Analysis | The Technology 202: South Korea is targeting Google's and Apple's app stores. U.S. lawmakers are watching. - The Washington Post,https://www.washingtonpost.com/politics/2021/08/26/technology-202-south-korea-is-targeting-google-apples-app-stores-us-lawmakers-are-watching/
6,Google dismantles Health unit in favor of tried-and-tested ‘throw everything at the wall’ strategy - The Verge,https://www.theverge.com/2021/8/24/22639075/google-health-team-dispersed-strategy-change
7,"Google, Microsoft plan to spend billions on cybersecurity after meeting with Biden - CNBC",https://www.cnbc.com/2021/08/25/google-microsoft-plan-to-spend-billions-on-cybersecurity-after-meeting-with-biden.html
8,Google updates site that explains how search works as it faces mounting regulatory pressure - CNBC,https://www.cnbc.com/2021/08/23/google-updates-site-that-explains-how-search-works.html
9,Google brings Samsung 5G modem tech to U.S. market with new Pixel phone -sources - Reuters,https://www.reuters.com/technology/google-brings-samsung-5g-modem-tech-us-market-with-new-pixel-phone-sources-2021-08-25/
10,"Google Health is being dismantled, but Big Tech’s quixotic health ambitions persist - Fortune",https://fortune.com/2021/08/26/google-health-is-being-dismantled-but-big-techs-quixotic-health-ambitions-persist/
11,"Otter.ai expands automatic transcription assistant to Microsoft Teams, Google Meet and Cisco Webex - TechCrunch",https://techcrunch.com/2021/08/26/otter-ai-expands-automatic-transcription-assistant-to-microsoft-teams-google-meet-and-cisco-webex/
12,A decade and a half of instability: The history of Google messaging apps - Ars Technica,https://arstechnica.com/gadgets/2021/08/a-decade-and-a-half-of-instability-the-history-of-google-messaging-apps/
13,Google Chat Review - PCMag,https://www.pcmag.com/reviews/google-chat
14,Is Android 12 about to pop Google's Bubbles? - Computerworld,https://www.computerworld.com/article/3630397/android-12-bubbles-google.html
15,10 Tips and Tricks to Get the Most Out of Google Chat - Gizmodo,https://gizmodo.com/10-tips-and-tricks-to-get-the-most-out-of-google-chat-1847533011
