,date,time,username,tweet,hashtags,cashtags
105,2021-08-20,23:44:25,briantycangco,"There’s really something wrong with a biz relationship when you pay more the bigger you get &amp; generate more biz tor $GOOG - Google sued by 36 states, DC for alleged antitrust violations in app store  https://t.co/HmIikQ2MQn",[],['goog']
106,2021-08-20,23:31:23,geldhoch2,Es läuft bei einem meiner Lieblinge  $GOOG Waymo Is 99% of the Way to Self-Driving Cars. The Last 1% Is the Hardest   https://t.co/jpo2dsZZ30,[],['goog']
107,2021-08-20,22:29:21,asigismo,@yoda_money It varies by objective. Knowing first hand  $GOOG and $TSLA are top notch. $AMZN is also at the top quietly with a different focus.   $FB of course is also at the top but of course they don’t want you to know much. $APPL rumors are they lag behind (again lack of focus for now),[],"['goog', 'tsla', 'amzn', 'fb', 'appl']"
108,2021-08-20,22:29:16,stock_market_a,$GOOG フォートナイト」のメーカーであるEpic GamesとGoogleの戦いは、最新の情報によりさらに混迷を深めています。  https://t.co/4MHU8aQ2Of,[],[]
109,2021-08-20,22:07:56,newsfilterio,"$37,923,106.28 of shares sold by Page Lawrence (Director), reported in a new form 4 filed with the SEC  $GOOG  https://t.co/rgzwIWgCO3",[],['goog']
110,2021-08-20,21:55:49,shimaenaga_inv,#MYPF $MSFT +2.55% $AAPL +0.82 $NVDA +3.42% $GOOG +1.23% $PLTR  -1.57%  あざます。 $MSFT に至っては評価損益+102%で倍🍔  S&amp;P 500 Map  https://t.co/0o3RZVm7Rm @FINVIZ_comより,['mypf'],"['msft', 'aapl', 'nvda', 'goog', 'pltr', 'msft']"
111,2021-08-20,21:45:57,newsfilterio,Google Health Boss Leaves to Take Over Cerner1 min read $GOOG $CERN $HCA  https://t.co/eec3URHTdc,[],"['goog', 'cern', 'hca']"
112,2021-08-20,21:45:50,alwaysatrader,We are having a great time so far🥳🍻  Don't miss out next big Alerts🚨  🎯~Chat-Room details in Bio~🎯  $GEVO $FSR $JMIA $LYFT $SONO $VPER $VISM $XELA $APT $JAKK $BIOL $BLFS $NOVN $AYRO $BSQR $DTST $DLPN $TDAC $SOLO $NBY $CLSN $MARK $VXX $FEYE $VRTX $GOOG $IPA  #OptionsTrading  https://t.co/1DfNIGOYC1,['optionstrading'],"['gevo', 'fsr', 'jmia', 'lyft', 'sono', 'vper', 'vism', 'xela', 'apt', 'jakk', 'biol', 'blfs', 'novn', 'ayro', 'bsqr', 'dtst', 'dlpn', 'tdac', 'solo', 'nby', 'clsn', 'mark', 'vxx', 'feye', 'vrtx', 'goog', 'ipa']"
113,2021-08-20,21:44:56,newsfilterio,Google Health Boss Leaves to Take Over Cerner $GOOG $CERN $HCA  https://t.co/GWvJPshzks,[],"['goog', 'cern', 'hca']"
114,2021-08-20,21:36:24,jimminyjilickrz,"@TMFJMo So true.  Some of my biggest winners from new money in the past year have been $GOOG, $NVDA, $MSFT.  It's incredible to see companies with Market Caps like these still dominate growth.  Thanks for all you do.",[],"['goog', 'nvda', 'msft']"
115,2021-08-20,20:57:04,wealthissimple,The damage and destruction leftist democrats do is felt around the world. $tsla $doge bitcoin $msft $fb $aapl $amc $hood $amzn $azo $shop $nymt $googl $goog nba Sacramento Kings Lakers Nets Knicks crypto digital,[],"['tsla', 'doge', 'msft', 'fb', 'aapl', 'amc', 'hood', 'amzn', 'azo', 'shop', 'nymt', 'googl', 'goog']"
116,2021-08-20,20:52:57,newsfilterio,Elon Musk Doubles Down on Artificial Intelligence at Tesla $TSLA $TWTR $GOOG $FB  https://t.co/JOpyPczGTH,[],"['tsla', 'twtr', 'goog', 'fb']"
117,2021-08-20,20:51:46,mikeyanlam,"@JConnol @healthbjk Compare to $goog $amzn showed strong commitment in health care delivery and hospital at home. However,  as @chrissyfarr said,  this could raise potential conflict between AWS and @AmazonCare and the health care team could be competitor of AWS clients.",[],"['goog', 'amzn']"
118,2021-08-20,20:48:14,mikeyanlam,@JConnol @healthbjk I think given the gigantic TAM of health care industry and market strong trust on $goog track record and execution. They probably won't have much pressure from investor and analyst even the project is capital intensive. I am surprised that they scaledown on health care so early.,[],['goog']
119,2021-08-20,20:36:38,jakebychoice,People just don’t understand…. $TSLA $GOOG $nVDA,[],"['tsla', 'goog', 'nvda']"
120,2021-08-20,20:35:32,martymadrid,"@Jason_Morrow That’s a 425% return; pretty wild who else performed as well over the past five years: - $NFLX at 1,446% - $NFLX at 460% - $AAPL at 455% - $AMZN at 316% - $GOOG at 260% - $TWTR at 242% - $CRM at 220% - $FB at 188% - $NASDAQ at 182% - $SNAP at 169% - $ORCL at 116% - $SPY at 104%",[],"['nflx', 'nflx', 'aapl', 'amzn', 'goog', 'twtr', 'crm', 'fb', 'nasdaq', 'snap', 'orcl', 'spy']"
121,2021-08-20,20:25:55,luckyfinancials,@BrianFeroldi $PLTR $ASML $CAT $DOCU $GOOG $MTTR $TSM $U,[],"['pltr', 'asml', 'cat', 'docu', 'goog', 'mttr', 'tsm', 'u']"
122,2021-08-20,20:18:03,theskyhopper,"Chinese Stocks like $BABA, $TCEHY, $BIDU, $LFC, Xiaomi and Construction Bank vs. say a US Equivalent in $AMZN, $FB, $GOOG, $MET, $JPM... I think there's definitely a discount in China and probably even justifiable.  Just the non-crypto thought of the day or something.  https://t.co/pywo2fI5mr",[],"['baba', 'tcehy', 'bidu', 'lfc', 'amzn', 'fb', 'goog', 'met', 'jpm']"
123,2021-08-20,20:06:21,stockmacrodaily,Long-Term Forecasting of Alphabet Inc. $GOOG August 2021\n https://stockmacro.com/alphabet-inc-goog-stock-analysis,[],['goog']
