,date,time,username,tweet,hashtags,cashtags
50,2021-08-20,21:48:12,alwaysatrader,Our Team has been performing splendidly well👏💸  $SNDL  $OKTA  $GM  $SWN  🎯~Chat-Room details in Bio~🎯  Welcome  $RCL $NUGT $QS $TTWO $TWLO $SNOW $CRWD $DASH $CLOV $CIDM $MRVL $DIS $F $V $SD $T $JNJ $XLF $TSM $BCRX $ARKK $UAA $FCEL $DDD $PTON $RBLX $JP $WORK $LOVE $WWR $HOOD  https://t.co/90DX7M5kzO,[],"['sndl', 'okta', 'gm', 'swn', 'rcl', 'nugt', 'qs', 'ttwo', 'twlo', 'snow', 'crwd', 'dash', 'clov', 'cidm', 'mrvl', 'dis', 'f', 'v', 'sd', 't', 'jnj', 'xlf', 'tsm', 'bcrx', 'arkk', 'uaa', 'fcel', 'ddd', 'pton', 'rblx', 'jp', 'work', 'love', 'wwr', 'hood']"
51,2021-08-20,21:39:08,objective808,この地合いでATH更新↗️ $JNJ 分散投資って大切。。,[],['jnj']
52,2021-08-20,21:09:57,newsfilterio,"J&amp;J CEO Alex Gorsky to Resign, Joaquin Duato to Succeed $REGN $JNJ $HZNP $RGEN  https://t.co/p3vWqxyg5D",[],"['regn', 'jnj', 'hznp', 'rgen']"
53,2021-08-20,21:03:56,newsfilterio,Is Moderna COVID-19 Jab Heart Risk More Than Pfizer's? $JNJ $PFE $MRNA $BNTX  https://t.co/pKMaAj0Gjc,[],"['jnj', 'pfe', 'mrna', 'bntx']"
54,2021-08-20,20:58:57,newsfilterio,"Pharma Stock Roundup: FDA Nod for MRK, PFE Products &amp; New Use of LLY, GSK Drugs $GSK $NVS $JNJ $PFE $MRK  https://t.co/IMnBfbQxR7",[],"['gsk', 'nvs', 'jnj', 'pfe', 'mrk']"
55,2021-08-20,20:54:02,shortvolumes,2021-08-20 Short sale volume (not short interest) for $AKBA is 53%.  https://t.co/IrjYBhskSh $NKTR 35% $NVS 13% $JNJ 64%,[],"['akba', 'nktr', 'nvs', 'jnj']"
56,2021-08-20,19:55:11,fredbenz0,08/20/21 #NOTABLE PART1:  EXPENSIVE #PUTSELLING: $JNJ $PBR $VMW  EXPENSIVE #CALLBUYING: $BBWI  MASSIVE #RISKREVERSAL: $GPS  MASSIVE #PUTSELLING: $MRO   MASSIVE #CALLBUYING: $HLT $WMT,"['notable', 'putselling', 'callbuying', 'riskreversal', 'putselling', 'callbuying']","['jnj', 'pbr', 'vmw', 'bbwi', 'gps', 'mro', 'hlt', 'wmt']"
57,2021-08-20,19:52:35,fredbenz0,"8/20/21 #OPTIONSBULLY #UOA PART2:  #SWEPTUP=#INSTITUTIONALFLOW: $JNJ $HLT $PBR $KO $OXY $GPS $VMW $MRO $APA $BGS $CNQ $TSM $WMT $ADNT $CNR $DAR, $PVH $UNFI $CCJ $BBWI $AEO $CYH $EPC $HLIT $RF  #RISKREVERSAL: $GPS $CNQ  #PUTSELLING: $GPS $MRO $AEO","['optionsbully', 'uoa', 'sweptup', 'institutionalflow', 'riskreversal', 'putselling']","['jnj', 'hlt', 'pbr', 'ko', 'oxy', 'gps', 'vmw', 'mro', 'apa', 'bgs', 'cnq', 'tsm', 'wmt', 'adnt', 'cnr', 'dar', 'pvh', 'unfi', 'ccj', 'bbwi', 'aeo', 'cyh', 'epc', 'hlit', 'rf', 'gps', 'cnq', 'gps', 'mro', 'aeo']"
58,2021-08-20,19:47:57,grahm_larry,WALLSTREETBETS:  1K TO 100K Challenge In Only 15 Trades or Less Starts 8/23 (The 1st Stock Pick) CARA  https://t.co/zFYOyvqWwh $CARA $PFE $MRNA $BNGO $ADMS $CLOV $ENVB $FSD $JNJ $GSK $LLY $OCGN $NVS $GILD $NVAX $BNTX $REGN $MRK $ABBV $BMY $AZN $SNY $BIIB $AMGN $BAYRY $TEVA $NSE,[],"['cara', 'pfe', 'mrna', 'bngo', 'adms', 'clov', 'envb', 'fsd', 'jnj', 'gsk', 'lly', 'ocgn', 'nvs', 'gild', 'nvax', 'bntx', 'regn', 'mrk', 'abbv', 'bmy', 'azn', 'sny', 'biib', 'amgn', 'bayry', 'teva', 'nse']"
59,2021-08-20,19:18:52,insiderfinancex,"$REG, $JNJ, $GEO, $HBM, $EQT Algorithmically curated trade ideas for top tickers with unusually high volume daily recap courtesy the of real-time dashboard from  https://t.co/XFSr9itA5W  https://t.co/oJgMxJxDvR",[],"['reg', 'jnj', 'geo', 'hbm', 'eqt']"
60,2021-08-20,19:16:30,tityosatya,"8.20.21 FRI  $NFLX $MSFT $NVDA $SQ $UNH $GOOGL $LOW $PFE $BNTX $MRNA $JNJ $ADAUSD $SOLUSD $SHOP $GLBE $CLFT $ZI $DLO $DOCS  EQUITY PUT/CALL RATIO0.57  MONDAY, AUG. 23 9:45 amMarkit manufacturing PMI (flash)Aug.--63.4 10 amExisting home sales (SAAR)July--5.86 million  https://t.co/U9iNtbNETA",[],"['nflx', 'msft', 'nvda', 'sq', 'unh', 'googl', 'low', 'pfe', 'bntx', 'mrna', 'jnj', 'adausd', 'solusd', 'shop', 'glbe', 'clft', 'zi', 'dlo', 'docs']"
61,2021-08-20,18:40:35,bullishsight,$JNJ daily  Not quite $180 but $.08 short. Either way we tracked this whole move! Congrats to those that followed along!  https://t.co/gzltbgQcJ0,[],['jnj']
62,2021-08-20,18:21:54,stockhawk247,"Highest volume options in the last hour: $JNJ, $TSM, $NVDA, $CCL, $EQNR, $DASH, $BABA, $CCJ, $ZGNX, $CSCO, $PRU, $PDD, $LCID, $BSX, $RF, $ATER, $HUN, $VXX, $NFLX, $M, $SBRA, $AMAT, $UAL, $TSLA, $AMD, $FB, $IRBT, $MSFT, $UUUU, $MS, $AMC, $PLTR, $SNAP, $PINS, $CNC, $CLDX, $LEV  https://t.co/e4i3DMQq7I",[],"['jnj', 'tsm', 'nvda', 'ccl', 'eqnr', 'dash', 'baba', 'ccj', 'zgnx', 'csco', 'pru', 'pdd', 'lcid', 'bsx', 'rf', 'ater', 'hun', 'vxx', 'nflx', 'm', 'sbra', 'amat', 'ual', 'tsla', 'amd', 'fb', 'irbt', 'msft', 'uuuu', 'ms', 'amc', 'pltr', 'snap', 'pins', 'cnc', 'cldx', 'lev']"
63,2021-08-20,18:20:40,prasant56069147,"$jnj    Best Chatroom , I've made over $264K  By their alert::..         https://t.co/Bsmzbyk6B2",[],['jnj']
64,2021-08-20,18:10:07,earningsflyinc,Top 15 Consumer Defensive stocks with market cap over 1 billion in 60 days.   👉  https://t.co/8rWbhVVsHM  $HMHC $BJ $COST $DG $TGT $PEP $WMT $HELE $JNJ $PG $PM $KO $MNST $CELH $XLP  🚀🚀🚀🚀🚀  https://t.co/CoRBmLzEhM,[],"['hmhc', 'bj', 'cost', 'dg', 'tgt', 'pep', 'wmt', 'hele', 'jnj', 'pg', 'pm', 'ko', 'mnst', 'celh', 'xlp']"
65,2021-08-20,18:05:08,earningsflyinc,Top 15 Consumer Defensive stocks with market cap over 1 billion in 5 days.   👉  https://t.co/ryYBUmIU8e  $BJ $COST $ABEV $UNFI $JNJ $WMT $PEP $CHD $KDP $PG $CLX $K $DLTR $GIS $HRL  🚀🚀🚀🚀🚀  https://t.co/hIBVwlC51f,[],"['bj', 'cost', 'abev', 'unfi', 'jnj', 'wmt', 'pep', 'chd', 'kdp', 'pg', 'clx', 'k', 'dltr', 'gis', 'hrl']"
66,2021-08-20,18:05:01,uminoxhiro,はてなブログに投稿しました #はてなブログ #米国株 #投資 #FL $DE $CPNG $AMAT $AZN $JNJ $ADBE $HOOD $INTC $MSFT $AMZN $FB $MCD 【米国株】反発の米国市場！全面高で調整終了？ビッグテック企業が市場を牽引！エヌビディア、マイクロソフト、アドビなどが好調！ - ウミ…  https://t.co/m32CJ23yjR,"['はてなブログ', '米国株', '投資', 'fl']","['de', 'cpng', 'amat', 'azn', 'jnj', 'adbe', 'hood', 'intc', 'msft', 'amzn', 'fb', 'mcd']"
67,2021-08-20,17:54:44,pb56408748,8/20マーケットで最高値を取った米国株  マイクロソフト $MSFT ジョンソン＆ジョンソン $JNJ UnitedHealth $UNH アドビ $ADBE ノボ $NVO ペプシ $PEP サーモフィッシャー $TMO アクセンチュア $ACN コストコ $COST イントゥイット $INTU チャーター $CHTR 等  #米国株　#アメリカ株,"['米国株', 'アメリカ株']","['msft', 'jnj', 'unh', 'adbe', 'nvo', 'pep', 'tmo', 'acn', 'cost', 'intu', 'chtr']"
68,2021-08-20,17:50:39,tortozaleandro,$JNJ  Awaiting  Short signal on JNJ.  https://t.co/qhh6BcADEj,[],['jnj']
69,2021-08-20,17:46:54,tiujs,米国株ポート【週次】  ・安定 $SPY $MSFT $JNJ  ・高成長 $REGN(新規 $SFTW  $PLTR (買増し  ・モデルナ $MRNA  損切 $FAS  週間で-0.47%（SPY-0.38%） 年初来+58.34%（SPY+23.95%）  リジェネロン新規買いモデルナの夢よもう一度🤣パランティアも増やす。金利上がらないみたいだからFASは損切  https://t.co/TstnAr7vFY,[],"['spy', 'msft', 'jnj', 'regn', 'sftw', 'pltr', 'mrna', 'fas']"
70,2021-08-20,17:45:56,newsfilterio,Form 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers.On Augus.. $JNJ  https://t.co/oHLE3YMJz7,[],['jnj']
71,2021-08-20,17:32:34,007mindset,$SPY $PFE $MRNA $JNJ #NYC #NewYork 💉💉,"['nyc', 'newyork']","['spy', 'pfe', 'mrna', 'jnj']"
72,2021-08-20,17:11:53,melaynalokosky,"@RichardKeppler1 Will read through this later Richard, thank you for tagging me. Yes, it does have a familiar ring to it.  $JNJ $TSLA",[],"['jnj', 'tsla']"
