Date,Time,Open,High,Low,Close
8/18/2021,0:00,3250,3250,3250,3250
8/18/2021,1:00:00,3250,3250,3250,3250
8/18/2021,2:00:00,3250,3250,3250,3250
8/18/2021,3:00:00,3250,3250,3250,3250
8/18/2021,4:00:00,3246.5,3248.35,3245.2,3247
8/18/2021,5:00:00,3246,3246,3241.31,3241.31
8/18/2021,6:00:00,3243.22,3254.1,3232,3237.48
8/18/2021,7:00:00,3237,3238.36,3221.48,3227.24
8/18/2021,8:00:00,3227.14,3233.84,3222.61,3228.45
8/18/2021,9:00:00,3228.45,3232,3225.4,3228.1
8/18/2021,10:00:00,3228.9,3229,3218.09,3222.32
8/18/2021,11:00:00,3222.47,3234.32,3213.28,3228.64
8/18/2021,12:00:00,3228.08,3228.08,3200,3201.21
8/18/2021,13:00:00,3201.22,3206,3199.04,3202.15
8/18/2021,14:00:00,3202.51,3204.5,3201.22,3204.14
8/18/2021,15:00:00,3204.34,3204.8,3204,3204.8
8/18/2021,16:00:00,3204.5,3204.5,3203,3203
8/18/2021,17:00:00,3204.5,3204.5,3203,3203
8/18/2021,18:00:00,3204.5,3204.5,3203,3203
8/18/2021,19:00:00,3204.5,3204.5,3203,3203
8/18/2021,20:00:00,3204.5,3204.5,3203,3203
8/18/2021,21:00:00,3204.5,3204.5,3203,3203
8/18/2021,22:00:00,3204.5,3204.5,3203,3203
8/18/2021,23:00:00,3204.5,3204.5,3203,3203
8/19/2021,0:00:00,3204.5,3204.5,3203,3203
8/19/2021,1:00:00,3176.6,3176.6,3175,3175
8/19/2021,2:00:00,3180,3180,3180,3180
8/19/2021,3:00:00,3189.98,3190,3189.98,3190
8/19/2021,4:00:00,3188,3189,3181.5,3183.65
8/19/2021,5:00:00,3183,3190.22,3181.02,3187
8/19/2021,6:00:00,3187,3218.8,3185,3207.93
8/19/2021,7:00:00,3208.97,3230.99,3205.01,3222
8/19/2021,8:00:00,3222.46,3233,3215.46,3226.83
8/19/2021,9:00:00,3226.93,3227.9,3213.84,3216.48
8/19/2021,10:00:00,3216.43,3216.59,3199.4,3199.82
8/19/2021,11:00:00,3199.51,3201.56,3182.46,3182.46
8/19/2021,12:00:00,3194.79,3200,3183.27,3186.47
8/19/2021,13:00:00,3187.75,3190,3187.34,3190
8/19/2021,14:00:00,3190.5,3190.5,3189.11,3189.11
8/19/2021,15:00:00,3188.56,3188.56,3186,3187
8/19/2021,16:00:00,3188,3188,3186,3186
8/19/2021,17:00:00,3188,3188,3186,3186
8/19/2021,18:00:00,3188,3188,3186,3186
8/19/2021,19:00:00,3188,3188,3186,3186
8/19/2021,20:00:00,3188,3188,3186,3186
8/19/2021,21:00:00,3188,3188,3186,3186
8/19/2021,22:00:00,3188,3188,3186,3186
8/19/2021,23:00:00,3188,3188,3186,3186
8/20/2021,0:00:00,3188,3188,3186,3186
8/20/2021,1:00:00,3182,3182,3181,3181
8/20/2021,2:00:00,3180.23,3180.23,3180,3180
8/20/2021,3:00:00,3185.94,3185.94,3185.94,3185.94
8/20/2021,4:00:00,3181.17,3185,3181.17,3185
8/20/2021,5:00:00,3187,3200,3186.27,3200
8/20/2021,6:00:00,3202,3206.99,3175.76,3192.17
8/20/2021,7:00:00,3192.4,3207.81,3191.29,3199.38
8/20/2021,8:00:00,3199.95,3202.44,3175.77,3177.89
8/20/2021,9:00:00,3178.45,3187.59,3176.03,3184.15
8/20/2021,10:00:00,3184.07,3188.94,3182,3184.11
8/20/2021,11:00:00,3184.28,3189.58,3180.56,3183.01
8/20/2021,12:00:00,3183,3201.39,3180.43,3199.06
8/20/2021,13:00:00,3199.95,3202.22,3198,3198.5
8/20/2021,14:00:00,3199,3200,3197,3199.95
8/20/2021,15:00:00,3200.28,3203.79,3200.28,3201.05
8/20/2021,16:00:00,3200.28,3203.79,3200.28,3201.05
8/20/2021,17:00:00,3200.28,3203.79,3200.28,3201.05
8/20/2021,18:00:00,3200.28,3203.79,3200.28,3201.05
8/20/2021,19:00:00,3200.28,3203.79,3200.28,3201.05
8/20/2021,20:00:00,3200.28,3203.79,3200.28,3201.05
8/20/2021,21:00:00,3200.28,3203.79,3200.28,3201.05
8/20/2021,22:00:00,3200.28,3203.79,3200.28,3201.05
8/20/2021,23:00:00,3200.28,3203.79,3200.28,3201.05
