Date,Time,Open,High,Low,Close
8/18/2021,0:00,2748.99,2748.99,2748.99,2748.99
8/18/2021,1:00:00,2748.99,2748.99,2748.99,2748.99
8/18/2021,2:00:00,2748.99,2748.99,2748.99,2748.99
8/18/2021,3:00:00,2748.99,2748.99,2748.99,2748.99
8/18/2021,4:00:00,2748.99,2748.99,2748.99,2748.99
8/18/2021,5:00:00,2741.21,2741.21,2741.21,2741.21
8/18/2021,6:00:00,2742.31,2752.78,2738.38,2749.04
8/18/2021,7:00:00,2749.98,2760.47,2746.2,2755.16
8/18/2021,8:00:00,2755.05,2760,2753.51,2758.54
8/18/2021,9:00:00,2758.04,2762.19,2756.78,2758.19
8/18/2021,10:00:00,2758.74,2759.65,2754.51,2758.15
8/18/2021,11:00:00,2758.31,2765.88,2749,2757.62
8/18/2021,12:00:00,2757.11,2757.9,2728.42,2731.39
8/18/2021,13:00:00,2731.4,2731.4,2725.7,2726
8/18/2021,14:00:00,2727,2727,2726.52,2726.52
8/18/2021,15:00:00,2726.61,2730,2726.61,2730
8/18/2021,16:00:00,2728.02,2728.02,2728,2728
8/18/2021,17:00:00,2728.02,2728.02,2728,2728
8/18/2021,18:00:00,2728.02,2728.02,2728,2728
8/18/2021,19:00:00,2728.02,2728.02,2728,2728
8/18/2021,20:00:00,2728.02,2728.02,2728,2728
8/18/2021,21:00:00,2728.02,2728.02,2728,2728
8/18/2021,22:00:00,2728.02,2728.02,2728,2728
8/18/2021,23:00:00,2728.02,2728.02,2728,2728
8/19/2021,0:00:00,2728.02,2728.02,2728,2728
8/19/2021,1:00:00,2707,2707,2705,2705
8/19/2021,2:00:00,2710,2711,2710,2711
8/19/2021,3:00:00,2715,2715,2715,2715
8/19/2021,4:00:00,2710,2710,2710,2710
8/19/2021,5:00:00,2714.37,2714.37,2714.37,2714.37
8/19/2021,6:00:00,2711.58,2721,2707.12,2715.05
8/19/2021,7:00:00,2717.22,2734.58,2716.86,2733.03
8/19/2021,8:00:00,2732.65,2744.84,2728.87,2742.85
8/19/2021,9:00:00,2743.89,2749.04,2739.68,2749.04
8/19/2021,10:00:00,2748.33,2748.78,2734.22,2734.22
8/19/2021,11:00:00,2748.33,2748.78,2734.22,2734.22
8/19/2021,12:00:00,2740.07,2748,2733.01,2736.8
8/19/2021,13:00:00,2738.27,2742.24,2738.27,2738.27
8/19/2021,14:00:00,2738.27,2742.24,2738.27,2738.27
8/19/2021,15:00:00,2738.27,2742.24,2738.27,2738.27
8/19/2021,16:00:00,2738.27,2742.24,2738.27,2738.27
8/19/2021,17:00:00,2738.27,2742.24,2738.27,2738.27
8/19/2021,18:00:00,2738.27,2742.24,2738.27,2738.27
8/19/2021,19:00:00,2738.27,2742.24,2738.27,2738.27
8/19/2021,20:00:00,2738.27,2742.24,2738.27,2738.27
8/19/2021,21:00:00,2738.27,2742.24,2738.27,2738.27
8/19/2021,22:00:00,2738.27,2742.24,2738.27,2738.27
8/19/2021,23:00:00,2738.27,2742.24,2738.27,2738.27
8/20/2021,0:00:00,2738.27,2742.24,2738.27,2738.27
8/20/2021,1:00:00,2738.27,2742.24,2738.27,2738.27
8/20/2021,2:00:00,2738.27,2742.24,2738.27,2738.27
8/20/2021,3:00:00,2738.27,2742.24,2738.27,2738.27
8/20/2021,4:00:00,2738.27,2742.24,2738.27,2738.27
8/20/2021,5:00:00,2738.27,2742.24,2738.27,2738.27
8/20/2021,6:00:00,2741.4,2754.51,2729.34,2750.59
8/20/2021,7:00:00,2751.16,2766.61,2750.56,2757.25
8/20/2021,8:00:00,2758.15,2758.24,2749.37,2753.19
8/20/2021,9:00:00,2754.04,2770.55,2754.04,2768.66
8/20/2021,10:00:00,2769.28,2772.29,2765.04,2766.09
8/20/2021,11:00:00,2766.3,2768.07,2758.73,2763
8/20/2021,12:00:00,2763.16,2771.74,2762.7,2768.58
8/20/2021,13:00:00,2768.74,2768.74,2768.1,2768.1
8/20/2021,14:00:00,2768.74,2768.74,2768.74,2768.74
8/20/2021,15:00:00,2768.74,2768.74,2768.74,2768.74
8/20/2021,16:00:00,2768.74,2768.74,2768.74,2768.74
8/20/2021,17:00:00,2768.74,2768.74,2768.74,2768.74
8/20/2021,18:00:00,2768.74,2768.74,2768.74,2768.74
8/20/2021,19:00:00,2768.74,2768.74,2768.74,2768.74
8/20/2021,20:00:00,2768.74,2768.74,2768.74,2768.74
8/20/2021,21:00:00,2768.74,2768.74,2768.74,2768.74
8/20/2021,22:00:00,2768.74,2768.74,2768.74,2768.74
8/20/2021,23:00:00,2768.74,2768.74,2768.74,2768.74
