Date,Time,Open,High,Low,Close
8/18/2021,0:00:00,50.25,50.35,50.2,50.29
8/18/2021,1:00:00,50.25,50.35,50.2,50.29
8/18/2021,2:00:00,50.29,50.41,50.29,50.39
8/18/2021,3:00:00,50.33,50.4,50.29,50.37
8/18/2021,4:00:00,50.34,50.4,50.23,50.29
8/18/2021,5:00:00,50.34,51.23,49.81,51.23
8/18/2021,6:00:00,50.29,50.35,50.11,50.34
8/18/2021,7:00:00,50.34,51.23,49.81,51.23
8/18/2021,8:00:00,51.2,51.86,51.12,51.13
8/18/2021,9:00:00,51.12,51.36,50.75,51.25
8/18/2021,10:00:00,51.25,51.3,50.66,50.68
8/18/2021,11:00:00,50.67,50.89,49.97,50.02
8/18/2021,12:00:00,50.03,50.22,49.17,49.31
8/18/2021,13:00:00,49.33,49.33,48.92,49.15
8/18/2021,14:00:00,49.12,49.28,49.1,49.15
8/18/2021,15:00:00,49.19,49.25,49.15,49.24
8/18/2021,16:00:00,49.24,49.34,49.02,49.02
8/18/2021,17:00:00,49.24,49.34,49.02,49.02
8/18/2021,18:00:00,49.24,49.34,49.02,49.02
8/18/2021,19:00:00,49.24,49.34,49.02,49.02
8/18/2021,20:00:00,49.24,49.34,49.02,49.02
8/18/2021,21:00:00,49.24,49.34,49.02,49.02
8/18/2021,22:00:00,49.24,49.34,49.02,49.02
8/18/2021,23:00:00,49.24,49.34,49.02,49.02
8/19/2021,0:00:00,49.24,49.34,49.02,49.02
8/19/2021,1:00:00,48.6,48.79,48.51,48.57
8/19/2021,2:00:00,48.53,48.98,48.49,48.98
8/19/2021,3:00:00,48.98,48.98,48.61,48.75
8/19/2021,4:00:00,48.79,48.79,48.53,48.56
8/19/2021,5:00:00,48.56,48.79,48.36,48.41
8/19/2021,6:00:00,48.4,49.74,47.98,49.49
8/19/2021,7:00:00,49.48,49.96,49.18,49.83
8/19/2021,8:00:00,49.83,49.88,49.4,49.72
8/19/2021,9:00:00,49.72,49.83,48.85,49.23
8/19/2021,10:00:00,49.23,49.27,48.51,48.52
8/19/2021,11:00:00,48.51,49.06,48.43,49.02
8/19/2021,12:00:00,49.03,49.03,48.68,48.8
8/19/2021,13:00:00,48.76,49.04,48.75,48.87
8/19/2021,14:00:00,48.87,48.88,48.81,48.85
8/19/2021,15:00:00,48.85,48.88,48.81,48.85
8/19/2021,16:00:00,48.86,48.88,48.83,48.88
8/19/2021,17:00:00,48.86,48.88,48.83,48.88
8/19/2021,18:00:00,48.86,48.88,48.83,48.88
8/19/2021,19:00:00,48.86,48.88,48.83,48.88
8/19/2021,20:00:00,48.86,48.88,48.83,48.88
8/19/2021,21:00:00,48.86,48.88,48.83,48.88
8/19/2021,22:00:00,48.86,48.88,48.83,48.88
8/19/2021,23:00:00,48.86,48.88,48.83,48.88
8/20/2021,0:00:00,48.86,48.88,48.83,48.88
8/20/2021,1:00:00,48.62,49.1,48.01,48.18
8/20/2021,2:00:00,48.2,48.33,48.18,48.3
8/20/2021,3:00:00,48.29,48.35,48.21,48.35
8/20/2021,4:00:00,48.31,48.79,48.31,48.6
8/20/2021,5:00:00,48.62,48.89,48.56,48.86
8/20/2021,6:00:00,48.82,49.73,48.66,49.37
8/20/2021,7:00:00,49.37,49.5,49.05,49.21
8/20/2021,8:00:00,49.22,49.34,48.94,49.25
8/20/2021,9:00:00,49.25,49.46,49.17,49.24
8/20/2021,10:00:00,49.25,49.42,49.04,49.05
8/20/2021,11:00:00,49.06,49.08,48.72,49.02
8/20/2021,12:00:00,49.02,49.03,48.7,48.72
8/20/2021,13:00:00,48.7,48.9,48.6,48.65
8/20/2021,14:00:00,48.69,49.7,48.67,49.26
8/20/2021,15:00:00,49.34,50.25,49.23,50.1
8/20/2021,16:00:00,50.13,50.96,50.01,50.7
8/20/2021,17:00:00,50.13,50.96,50.01,50.7
8/20/2021,18:00:00,50.13,50.96,50.01,50.7
8/20/2021,19:00:00,50.13,50.96,50.01,50.7
8/20/2021,20:00:00,50.13,50.96,50.01,50.7
8/20/2021,21:00:00,50.13,50.96,50.01,50.7
8/20/2021,22:00:00,50.13,50.96,50.01,50.7
8/20/2021,23:00:00,50.13,50.96,50.01,50.7
