Date,Time,Open,High,Low,Close
8/18/2021,0:00,179.12,179.12,179.12,179.12
8/18/2021,1:00:00,179.12,179.12,179.12,179.12
8/18/2021,2:00:00,179.12,179.12,179.12,179.12
8/18/2021,3:00:00,179.12,179.12,179.12,179.12
8/18/2021,4:00:00,179.12,179.12,179.12,179.12
8/18/2021,5:00:00,179,179.3,179,179.3
8/18/2021,6:00:00,179.15,179.5,178.06,178.7
8/18/2021,7:00:00,179.03,177.91,177.91,178.07
8/18/2021,8:00:00,178.06,178.64,177.8,178.3
8/18/2021,9:00:00,178.34,178.68,178.21,178.49
8/18/2021,10:00:00,178.49,178.52,178.1,178.34
8/18/2021,11:00:00,178.34,178.49,177.88,178.1
8/18/2021,12:00:00,178.08,178.27,177.13,177.18
8/18/2021,13:00:00,177.26,177.36,177.19,177.25
8/18/2021,14:00:00,177.25,177.25,177.19,177.19
8/18/2021,15:00:00,177.25,177.95,177.25,177.95
8/18/2021,16:00:00,177.95,178.15,177.95,178.14
8/18/2021,17:00:00,177.95,178.15,177.95,178.14
8/18/2021,18:00:00,177.95,178.15,177.95,178.14
8/18/2021,19:00:00,177.95,178.15,177.95,178.14
8/18/2021,20:00:00,177.95,178.15,177.95,178.14
8/18/2021,21:00:00,177.95,178.15,177.95,178.14
8/18/2021,22:00:00,177.95,178.15,177.95,178.14
8/18/2021,23:00:00,177.95,178.15,177.95,178.14
8/19/2021,0:00:00,177.95,178.15,177.95,178.14
8/19/2021,1:00:00,177.95,178.15,177.95,178.14
8/19/2021,2:00:00,175.52,175.52,175.52,175.52
8/19/2021,3:00:00,175.52,175.52,175.52,175.52
8/19/2021,4:00:00,176.56,177,176.56,177
8/19/2021,5:00:00,176.06,176.06,176.02,176.04
8/19/2021,6:00:00,176.46,178.58,176.07,178.38
8/19/2021,7:00:00,178.4,178.85,177.82,178.83
8/19/2021,8:00:00,178.86,179.19,178.31,179
8/19/2021,9:00:00,179,179.33,178.79,179.12
8/19/2021,10:00:00,179.13,179.15,178.23,178.24
8/19/2021,11:00:00,178.24,178.85,177.99,178.77
8/19/2021,12:00:00,178.81,179.06,178.28,178.57
8/19/2021,13:00:00,178.5,178.57,177.62,178.57
8/19/2021,14:00:00,178.57,178.57,177,177.23
8/19/2021,15:00:00,177.99,177.99,177.95,177.95
8/19/2021,16:00:00,177.99,177.99,177.95,177.95
8/19/2021,17:00:00,177.99,177.99,177.95,177.95
8/19/2021,18:00:00,177.99,177.99,177.95,177.95
8/19/2021,19:00:00,177.99,177.99,177.95,177.95
8/19/2021,20:00:00,177.99,177.99,177.95,177.95
8/19/2021,21:00:00,177.99,177.99,177.95,177.95
8/19/2021,22:00:00,177.99,177.99,177.95,177.95
8/19/2021,23:00:00,177.99,177.99,177.95,177.95
8/20/2021,0:00:00,177.99,177.99,177.95,177.95
8/20/2021,1:00:00,177.99,177.99,177.95,177.95
8/20/2021,2:00:00,177.99,177.99,177.95,177.95
8/20/2021,3:00:00,177.99,177.99,177.95,177.95
8/20/2021,4:00:00,177.93,177.93,177.93,177.93
8/20/2021,5:00:00,177.93,177.93,177.93,177.93
8/20/2021,6:00:00,179.69,179.81,178.07,179.69
8/20/2021,7:00:00,179.7,179.92,179.29,179.54
8/20/2021,8:00:00,179.5,179.68,179.2,179.62
8/20/2021,9:00:00,179.61,179.87,179.44,179.45
8/20/2021,10:00:00,179.45,179.5,179.02,179.17
8/20/2021,11:00:00,179.19,179.3,179.06,179.3
8/20/2021,12:00:00,179.29,179.69,179.22,179.43
8/20/2021,13:00:00,179.5,179.5,179.4,179.4
8/20/2021,14:00:00,179.44,179.44,179.44,179.44
8/20/2021,15:00:00,179.44,179.44,179.44,179.44
8/20/2021,16:00:00,179.44,179.49,179.3,179.49
8/20/2021,17:00,179.44,179.49,179.3,179.49
8/20/2021,18:00,179.44,179.49,179.3,179.49
8/20/2021,19:00,179.44,179.49,179.3,179.49
8/20/2021,20:00,179.44,179.49,179.3,179.49
8/20/2021,21:00,179.44,179.49,179.3,179.49
8/20/2021,22:00,179.44,179.49,179.3,179.49
8/20/2021,23:00,179.44,179.49,179.3,179.49
