Date,Time,Open,High,Low,Close
8/18/2021,0:00,403.2,410.05,403.2,406
8/18/2021,1:00:00,403.2,410.05,403.2,406
8/18/2021,2:00:00,407.23,409.7,406,409
8/18/2021,3:00:00,408.9,410.04,408.44,408.44
8/18/2021,4:00:00,408.44,409.5,406.06,408.5
8/18/2021,5:00:00,408.2,408.85,403,403.4
8/18/2021,6:00:00,403,413.3,390.34,393.42
8/18/2021,7:00:00,393.36,403.43,386.21,393.77
8/18/2021,8:00:00,393.8,397.79,387.2,390.07
8/18/2021,9:00:00,390.25,394.5,389.31,392.35
8/18/2021,10:00:00,392.5,394.49,391.4,393.89
8/18/2021,11:00:00,393.8,396.5,390.91,396.26
8/18/2021,12:00:00,396.23,400.67,394.31,398.65
8/18/2021,13:00:00,398.8,402.5,397.01,398.2
8/18/2021,14:00:00,398.2,399.44,395.18,395.18
8/18/2021,15:00:00,395.15,395.85,392.45,394.75
8/18/2021,16:00:00,395.85,369,393.65,395.25
8/18/2021,17:00:00,395.85,369,393.65,395.25
8/18/2021,18:00:00,395.85,369,393.65,395.25
8/18/2021,19:00:00,395.85,369,393.65,395.25
8/18/2021,20:00:00,395.85,369,393.65,395.25
8/18/2021,21:00:00,395.85,369,393.65,395.25
8/18/2021,22:00:00,395.85,369,393.65,395.25
8/18/2021,23:00:00,395.85,369,393.65,395.25
8/19/2021,0:00:00,395.85,369,393.65,395.25
8/19/2021,1:00:00,392,393,389,389.5
8/19/2021,2:00:00,388.54,389.5,386.46,389.5
8/19/2021,3:00:00,388.98,390.7,388.3,390.7
8/19/2021,4:00:00,391,392.99,389.02,389.98
8/19/2021,5:00:00,399.8,399.8,387.52,387.98
8/19/2021,6:00:00,387.98,394.92,382.18,390.77
8/19/2021,7:00:00,390.48,394.66,385.67,387.04
8/19/2021,8:00:00,387.26,387.5,380.25,382.27
8/19/2021,9:00:00,382.53,386.33,381.89,385.9
8/19/2021,10:00:00,386.14,386.62,377.68,378.08
8/19/2021,11:00:00,377.87,380.5,375.35,380.14
8/19/2021,12:00:00,380.34,383.4,375,375.48
8/19/2021,13:00:00,375.44,376.5,374.65,376.3
8/19/2021,14:00:00,376.11,377.29,376.01,377.2
8/19/2021,15:00:00,377.21,376.25,376.25,376.95
8/19/2021,16:00:00,387.98,394.92,382.18,390.77
8/19/2021,17:00:00,387.98,394.92,382.18,390.77
8/19/2021,18:00:00,387.98,394.92,382.18,390.77
8/19/2021,19:00:00,387.98,394.92,382.18,390.77
8/19/2021,20:00:00,387.98,394.92,382.18,390.77
8/19/2021,21:00:00,387.98,394.92,382.18,390.77
8/19/2021,22:00:00,387.98,394.92,382.18,390.77
8/19/2021,23:00:00,387.98,394.92,382.18,390.77
8/20/2021,0:00:00,387.98,394.92,382.18,390.77
8/20/2021,1:00:00,392,393,389,389.5
8/20/2021,2:00:00,388.54,389.5,386.46,389.5
8/20/2021,3:00:00,388.98,390.7,388.3,390.7
8/20/2021,4:00:00,391,392.99,389.02,389.98
8/20/2021,5:00:00,365.42,372,364.99,371.48
8/20/2021,6:00:00,371.39,385.44,370.36,374.49
8/20/2021,7:00:00,374.32,383.64,369.26,381.49
8/20/2021,8:00:00,381.76,386.33,380.5,383.11
8/20/2021,9:00:00,383,387.49,380.55,383.16
8/20/2021,10:00:00,383.12,383.69,380.79,382.6
8/20/2021,11:00:00,382.62,384.05,381.73,382.88
8/20/2021,12:00:00,382.77,383.99,380.22,382.98
8/20/2021,13:00:00,382.98,383,382,382.35
8/20/2021,14:00:00,382.13,382.98,382,382.65
8/20/2021,15:00:00,382.85,386.02,382.64,386
8/20/2021,16:00:00,386.3,388.4,385.26,388
8/20/2021,17:00:00,386.3,388.4,385.26,388
8/20/2021,18:00:00,386.3,388.4,385.26,388
8/20/2021,19:00:00,386.3,388.4,385.26,388
8/20/2021,20:00:00,386.3,388.4,385.26,388
8/20/2021,21:00:00,386.3,388.4,385.26,388
8/20/2021,22:00:00,386.3,388.4,385.26,388
8/20/2021,23:00:00,386.3,388.4,385.26,388
