Date,Time,Open,High,Low,Close
8/18/2021,0:00,699.01,681.61,688.33,670
8/18/2021,1:00:00,699.01,681.61,688.33,670
8/18/2021,2:00:00,670.7,673.64,670.7,672.5
8/18/2021,3:00:00,672.99,674.1,670.1,673.01
8/18/2021,4:00:00,672.91,674.5,671.5,671.95
8/18/2021,5:00:00,672,673.25,668.56,670
8/18/2021,6:00:00,670,684.63,668.54,684.55
8/18/2021,7:00:00,684.74,693.81,681.13,693.37
8/18/2021,8:00:00,693.25,683.5,686.57,690.71
8/18/2021,9:00:00,690.78,693.83,689.81,690.96
8/18/2021,10:00:00,690.99,693.63,687.4,689
8/18/2021,11:00:00,688.96,695.5,684.72,695.2
8/18/2021,12:00:00,695.06,695.77,688.17,689.29
8/18/2021,13:00:00,689.29,689.64,682.25,684.94
8/18/2021,14:00:00,684.5,685.35,684.5,684.8
8/18/2021,15:00:00,684.78,684.8,683,683.73
8/18/2021,16:00:00,683.6,685.4,683.21,685
8/18/2021,17:00:00,683.6,685.4,683.21,685
8/18/2021,18:00:00,683.6,685.4,683.21,685
8/18/2021,19:00:00,683.6,685.4,683.21,685
8/18/2021,20:00:00,683.6,685.4,683.21,685
8/18/2021,21:00:00,683.6,685.4,683.21,685
8/18/2021,22:00:00,683.6,685.4,683.21,685
8/18/2021,23:00:00,683.6,685.4,683.21,685
8/19/2021,0:00:00,683.6,685.4,683.21,685
8/19/2021,1:00:00,681,681.3,672.09,673
8/19/2021,2:00:00,672.83,679,670.35,677.92
8/19/2021,3:00:00,678,678,674.5,676.37
8/19/2021,4:00:00,675.24,680.3,675.24,678.02
8/19/2021,5:00:00,677.18,679,676,676.6
8/19/2021,6:00:00,676.17,686.55,673.21,673.37
8/19/2021,7:00:00,673,681.74,673,679.25
8/19/2021,8:00:00,679.39,681,676.26,680
8/19/2021,9:00:00,680.02,681,676.5,679.56
8/19/2021,10:00:00,679.49,680.06,675.53,675.91
8/19/2021,11:00:00,675.91,676.75,667.59,673.39
8/19/2021,12:00:00,673.22,677.27,671.73,673.47
8/19/2021,13:00:00,673.47,674.82,672.59,673.9
8/19/2021,14:00:00,673.7,673.9,673.6,673.87
8/19/2021,15:00:00,673.87,673.9,672.5,672.75
8/19/2021,16:00:00,672,673,672,673
8/19/2021,17:00:00,672,673,672,673
8/19/2021,18:00:00,672,673,672,673
8/19/2021,19:00:00,672,673,672,673
8/19/2021,20:00:00,672,673,672,673
8/19/2021,21:00:00,672,673,672,673
8/19/2021,22:00:00,672,673,672,673
8/19/2021,23:00:00,672,673,672,673
8/20/2021,0:00:00,672,673,672,673
8/20/2021,1:00:00,674,679.35,671,676
8/20/2021,2:00:00,675,678,674.9,678
8/20/2021,3:00:00,678.09,678.22,676.3,676.3
8/20/2021,4:00:00,676,685.75,675.5,685.75
8/20/2021,5:00:00,685.07,687.49,683.2,683.9
8/20/2021,6:00:00,684,692.13,679.41,681.14
8/20/2021,7:00:00,681.14,682.8,676.41,677.45
8/20/2021,8:00:00,677.64,680,673.7,674.82
8/20/2021,9:00:00,674.96,678.01,674.4,677.38
8/20/2021,10:00:00,677.28,678.51,674.92,675.5
8/20/2021,11:00:00,675.57,680.09,675.5,679.82
8/20/2021,12:00:00,679.86,681.55,679.23,680.09
8/20/2021,13:00:00,680.09,680.26,678.34,679.95
8/20/2021,14:00:00,679.99,680.26,679.15,680.26
8/20/2021,15:00:00,680.26,680.6,679.7,680
8/20/2021,16:00:00,680.13,680.3,679.8,680.3
8/20/2021,17:00:00,680.13,680.3,679.8,680.3
8/20/2021,18:00:00,680.13,680.3,679.8,680.3
8/20/2021,19:00:00,680.13,680.3,679.8,680.3
8/20/2021,20:00:00,680.13,680.3,679.8,680.3
8/20/2021,21:00:00,680.13,680.3,679.8,680.3
8/20/2021,22:00:00,680.13,680.3,679.8,680.3
8/20/2021,23:00:00,680.13,680.3,679.8,680.3
